Número de Ordem;Índice de Gravidade;Quantidade de CNPJs Completos;CNAE;Vigencia
3.354,90;1,9324;1;80.11-1/01;2025
3.357,94;1,964;1;80.11-1/01;2025
3.360,98;1,9688;1;80.11-1/01;2025
3.364,02;1,9786;1;80.11-1/01;2025
3.367,07;1,9884;1;80.11-1/01;2025
3.370,11;1,9917;1;80.11-1/01;2025
3.373,15;2,0185;1;80.11-1/01;2025
3.376,19;2,0581;1;80.11-1/01;2025
3.379,23;2,0636;1;80.11-1/01;2025
3.382,27;2,0708;1;80.11-1/01;2025
3.385,31;2,0979;1;80.11-1/01;2025
3.388,35;2,1034;1;80.11-1/01;2025
3.391,39;2,1108;1;80.11-1/01;2025
3.394,43;2,1201;1;80.11-1/01;2025
3.397,48;2,1239;1;80.11-1/01;2025
3.400,52;2,1314;1;80.11-1/01;2025
3.403,56;2,1583;1;80.11-1/01;2025
3.406,60;2,1602;1;80.11-1/01;2025
3.409,64;2,1828;1;80.11-1/01;2025
3.412,68;2,1938;1;80.11-1/01;2025
3.415,72;2,2135;1;80.11-1/01;2025
3.418,76;2,2202;2;80.11-1/01;2025
3.424,84;2,2472;1;80.11-1/01;2025
3.427,89;2,2514;1;80.11-1/01;2025
3.430,93;2,261;1;80.11-1/01;2025
3.433,97;2,262;1;80.11-1/01;2025
3.437,01;2,2706;1;80.11-1/01;2025
3.440,05;2,2835;1;80.11-1/01;2025
3.443,09;2,2886;1;80.11-1/01;2025
3.446,13;2,2945;1;80.11-1/01;2025
3.449,17;2,3211;1;80.11-1/01;2025
3.452,21;2,3292;1;80.11-1/01;2025
3.455,25;2,3324;1;80.11-1/01;2025
3.458,30;2,3415;3;80.11-1/01;2025
3.467,42;2,357;1;80.11-1/01;2025
3.470,46;2,3669;1;80.11-1/01;2025
3.473,50;2,3692;1;80.11-1/01;2025
3.476,54;2,4129;1;80.11-1/01;2025
3.479,58;2,4145;1;80.11-1/01;2025
3.482,62;2,439;1;80.11-1/01;2025
3.485,66;2,4565;1;80.11-1/01;2025
3.488,70;2,4641;1;80.11-1/01;2025
3.491,75;2,4697;1;80.11-1/01;2025
3.494,79;2,4845;2;80.11-1/01;2025
3.500,87;2,5;1;80.11-1/01;2025
3.503,91;2,5184;1;80.11-1/01;2025
3.506,95;2,5203;1;80.11-1/01;2025
3.509,99;2,5723;1;80.11-1/01;2025
3.513,03;2,577;1;80.11-1/01;2025
3.516,07;2,5779;1;80.11-1/01;2025
3.519,11;2,5806;1;80.11-1/01;2025
3.522,16;2,596;1;80.11-1/01;2025
3.525,20;2,5974;1;80.11-1/01;2025
3.528,24;2,6024;1;80.11-1/01;2025
3.531,28;2,623;1;80.11-1/01;2025
3.534,32;2,6374;1;80.11-1/01;2025
3.537,36;2,649;1;80.11-1/01;2025
3.540,40;2,6706;1;80.11-1/01;2025
3.543,44;2,7092;1;80.11-1/01;2025
3.546,48;2,7273;1;80.11-1/01;2025
3.549,52;2,7555;1;80.11-1/01;2025
3.552,57;2,7618;1;80.11-1/01;2025
3.555,61;2,781;1;80.11-1/01;2025
3.558,65;2,7814;1;80.11-1/01;2025
3.561,69;2,7907;2;80.11-1/01;2025
3.567,77;2,7972;1;80.11-1/01;2025
3.570,81;2,9021;1;80.11-1/01;2025
3.573,85;2,9091;1;80.11-1/01;2025
3.576,89;2,9197;1;80.11-1/01;2025
3.579,93;2,9209;1;80.11-1/01;2025
3.582,98;2,9376;1;80.11-1/01;2025
3.586,02;2,963;1;80.11-1/01;2025
3.589,06;3,038;1;80.11-1/01;2025
3.592,10;3,0457;1;80.11-1/01;2025
3.595,14;3,0612;1;80.11-1/01;2025
3.598,18;3,0691;1;80.11-1/01;2025
3.601,22;3,1352;1;80.11-1/01;2025
3.604,26;3,14;1;80.11-1/01;2025
3.607,30;3,2086;1;80.11-1/01;2025
3.610,34;3,2172;1;80.11-1/01;2025
3.613,39;3,2389;1;80.11-1/01;2025
3.616,43;3,3012;1;80.11-1/01;2025
3.619,47;3,5503;1;80.11-1/01;2025
3.622,51;3,5874;2;80.11-1/01;2025
3.628,59;3,609;1;80.11-1/01;2025
3.631,63;3,6254;1;80.11-1/01;2025
3.634,67;3,6446;1;80.11-1/01;2025
3.637,71;3,6641;1;80.11-1/01;2025
3.640,75;3,6824;1;80.11-1/01;2025
3.643,80;3,6923;1;80.11-1/01;2025
3.646,84;3,7037;1;80.11-1/01;2025
3.649,88;3,7238;1;80.11-1/01;2025
3.652,92;3,7618;3;80.11-1/01;2025
3.662,04;3,8585;1;80.11-1/01;2025
3.665,08;3,871;1;80.11-1/01;2025
3.668,12;3,8961;1;80.11-1/01;2025
3.671,16;3,9088;1;80.11-1/01;2025
3.674,20;4,0747;2;80.11-1/01;2025
3.680,29;4,1594;1;80.11-1/01;2025
3.683,33;4,1667;1;80.11-1/01;2025
3.686,37;4,1958;1;80.11-1/01;2025
3.689,41;4,205;1;80.11-1/01;2025
3.692,45;4,2105;1;80.11-1/01;2025
3.695,49;4,2239;1;80.11-1/01;2025
3.698,53;4,2574;1;80.11-1/01;2025
3.701,57;4,2629;2;80.11-1/01;2025
3.707,66;4,2705;1;80.11-1/01;2025
3.710,70;4,3088;1;80.11-1/01;2025
3.713,74;4,4362;1;80.11-1/01;2025
3.716,78;4,486;1;80.11-1/01;2025
3.719,82;4,6967;1;80.11-1/01;2025
3.722,86;4,7431;1;80.11-1/01;2025
3.725,90;4,7619;1;80.11-1/01;2025
3.728,94;4,7809;1;80.11-1/01;2025
3.731,98;4,7809;1;80.11-1/01;2025
3.735,02;4,8436;1;80.11-1/01;2025
3.738,07;4,8955;1;80.11-1/01;2025
3.741,11;4,9793;1;80.11-1/01;2025
3.744,15;5;1;80.11-1/01;2025
3.747,19;5,0314;1;80.11-1/01;2025
3.750,23;5,074;2;80.11-1/01;2025
3.756,31;5,1668;1;80.11-1/01;2025
3.759,35;5,1761;1;80.11-1/01;2025
3.762,39;5,1836;1;80.11-1/01;2025
3.765,43;5,2061;1;80.11-1/01;2025
3.768,48;5,2174;1;80.11-1/01;2025
3.771,52;5,3452;1;80.11-1/01;2025
3.774,56;5,403;1;80.11-1/01;2025
3.777,60;5,467;1;80.11-1/01;2025
3.780,64;5,5395;1;80.11-1/01;2025
3.783,68;5,5814;1;80.11-1/01;2025
3.786,72;5,614;1;80.11-1/01;2025
3.789,76;5,7831;1;80.11-1/01;2025
3.792,80;5,8252;2;80.11-1/01;2025
3.798,89;5,8537;1;80.11-1/01;2025
3.801,93;6,015;1;80.11-1/01;2025
3.804,97;6,2338;1;80.11-1/01;2025
3.808,01;6,2435;1;80.11-1/01;2025
3.811,05;6,2827;1;80.11-1/01;2025
3.814,09;6,366;1;80.11-1/01;2025
3.817,13;6,4;1;80.11-1/01;2025
3.820,17;6,5217;1;80.11-1/01;2025
3.823,21;6,5704;1;80.11-1/01;2025
3.826,25;6,7669;1;80.11-1/01;2025
3.829,30;6,8182;2;80.11-1/01;2025
3.835,38;6,8966;1;80.11-1/01;2025
3.838,42;6,9164;1;80.11-1/01;2025
3.841,46;7,1164;1;80.11-1/01;2025
3.844,50;7,1642;1;80.11-1/01;2025
3.847,54;7,4303;1;80.11-1/01;2025
3.850,58;7,6677;1;80.11-1/01;2025
3.853,62;7,8947;1;80.11-1/01;2025
3.856,66;8,1911;1;80.11-1/01;2025
3.859,70;8,2192;1;80.11-1/01;2025
3.862,75;8,2759;1;80.11-1/01;2025
3.865,79;8,3045;1;80.11-1/01;2025
3.868,83;8,5409;1;80.11-1/01;2025
3.871,87;8,9552;1;80.11-1/01;2025
3.874,91;8,9888;1;80.11-1/01;2025
3.877,95;9,3023;1;80.11-1/01;2025
3.880,99;9,375;1;80.11-1/01;2025
3.884,03;9,4118;1;80.11-1/01;2025
3.887,07;9,5238;1;80.11-1/01;2025
3.890,11;10;1;80.11-1/01;2025
3.893,16;10,0418;1;80.11-1/01;2025
3.896,20;10,2564;2;80.11-1/01;2025
3.902,28;10,3004;1;80.11-1/01;2025
3.905,32;10,5263;1;80.11-1/01;2025
3.908,36;10,6667;1;80.11-1/01;2025
3.911,40;10,7143;1;80.11-1/01;2025
3.914,44;11,0092;1;80.11-1/01;2025
3.917,48;11,3744;1;80.11-1/01;2025
3.920,52;11,5385;3;80.11-1/01;2025
3.929,65;12,5;1;80.11-1/01;2025
3.932,69;12,6984;1;80.11-1/01;2025
3.935,73;12,766;1;80.11-1/01;2025
3.938,77;13,4228;1;80.11-1/01;2025
3.941,81;14,2857;1;80.11-1/01;2025
3.944,85;14,6341;1;80.11-1/01;2025
3.947,89;15;1;80.11-1/01;2025
3.950,93;15,5844;1;80.11-1/01;2025
3.953,98;17,6471;1;80.11-1/01;2025
3.957,02;17,7778;1;80.11-1/01;2025
3.960,06;18,3206;1;80.11-1/01;2025
3.963,10;18,799;1;80.11-1/01;2025
3.966,14;19,5122;1;80.11-1/01;2025
3.969,18;19,6721;1;80.11-1/01;2025
3.972,22;19,8347;1;80.11-1/01;2025
3.975,26;21,2389;1;80.11-1/01;2025
3.978,30;21,6216;1;80.11-1/01;2025
3.981,34;22,0994;1;80.11-1/01;2025
3.984,39;22,2635;1;80.11-1/01;2025
3.987,43;24,4898;1;80.11-1/01;2025
3.990,47;25;1;80.11-1/01;2025
3.993,51;26,9663;1;80.11-1/01;2025
3.996,55;27,2727;1;80.11-1/01;2025
3.999,59;28,5714;1;80.11-1/01;2025
4.002,63;30,3797;1;80.11-1/01;2025
4.005,67;32,8767;1;80.11-1/01;2025
4.008,71;43,956;1;80.11-1/01;2025
4.011,75;44,8598;1;80.11-1/01;2025
4.014,80;50;1;80.11-1/01;2025
4.017,84;52,1739;1;80.11-1/01;2025
4.020,88;53,0973;1;80.11-1/01;2025
4.023,92;53,3333;1;80.11-1/01;2025
4.026,96;57,1429;1;80.11-1/01;2025
4.030,00;100;1;80.11-1/01;2025
