Número de Ordem;Índice de Gravidade;Quantidade de CNPJs Completos;CNAE;Vigencia
2.016,87;0,3666;1;80.11-1/01;2025
2.019,91;0,3676;1;80.11-1/01;2025
2.022,95;0,3684;1;80.11-1/01;2025
2.025,99;0,3701;1;80.11-1/01;2025
2.029,03;0,371;1;80.11-1/01;2025
2.032,07;0,3717;1;80.11-1/01;2025
2.035,11;0,3729;1;80.11-1/01;2025
2.038,16;0,374;1;80.11-1/01;2025
2.041,20;0,3746;1;80.11-1/01;2025
2.044,24;0,3749;1;80.11-1/01;2025
2.047,28;0,3822;1;80.11-1/01;2025
2.050,32;0,3841;1;80.11-1/01;2025
2.053,36;0,3845;1;80.11-1/01;2025
2.056,40;0,389;1;80.11-1/01;2025
2.059,44;0,3906;1;80.11-1/01;2025
2.062,48;0,3908;1;80.11-1/01;2025
2.065,52;0,3914;1;80.11-1/01;2025
2.068,57;0,3978;1;80.11-1/01;2025
2.071,61;0,3989;1;80.11-1/01;2025
2.074,65;0,4017;1;80.11-1/01;2025
2.077,69;0,4058;1;80.11-1/01;2025
2.080,73;0,408;1;80.11-1/01;2025
2.083,77;0,4093;1;80.11-1/01;2025
2.086,81;0,4109;1;80.11-1/01;2025
2.089,85;0,411;1;80.11-1/01;2025
2.092,89;0,4115;1;80.11-1/01;2025
2.095,93;0,4141;1;80.11-1/01;2025
2.098,98;0,4152;1;80.11-1/01;2025
2.102,02;0,4161;1;80.11-1/01;2025
2.105,06;0,4199;1;80.11-1/01;2025
2.108,10;0,4234;1;80.11-1/01;2025
2.111,14;0,4272;1;80.11-1/01;2025
2.114,18;0,4288;1;80.11-1/01;2025
2.117,22;0,4319;1;80.11-1/01;2025
2.120,26;0,4326;1;80.11-1/01;2025
2.123,30;0,4346;1;80.11-1/01;2025
2.126,34;0,4353;1;80.11-1/01;2025
2.129,39;0,4356;1;80.11-1/01;2025
2.132,43;0,4362;1;80.11-1/01;2025
2.135,47;0,4368;1;80.11-1/01;2025
2.138,51;0,4374;1;80.11-1/01;2025
2.141,55;0,4421;1;80.11-1/01;2025
2.144,59;0,4422;1;80.11-1/01;2025
2.147,63;0,4437;1;80.11-1/01;2025
2.150,67;0,4447;1;80.11-1/01;2025
2.153,71;0,4464;1;80.11-1/01;2025
2.156,75;0,4533;1;80.11-1/01;2025
2.159,80;0,4575;1;80.11-1/01;2025
2.162,84;0,4602;1;80.11-1/01;2025
2.165,88;0,4605;1;80.11-1/01;2025
2.168,92;0,4609;1;80.11-1/01;2025
2.171,96;0,4611;1;80.11-1/01;2025
2.175,00;0,4625;1;80.11-1/01;2025
2.178,04;0,4627;1;80.11-1/01;2025
2.181,08;0,4629;1;80.11-1/01;2025
2.184,12;0,4707;1;80.11-1/01;2025
2.187,16;0,4719;1;80.11-1/01;2025
2.190,20;0,4721;1;80.11-1/01;2025
2.193,25;0,4724;1;80.11-1/01;2025
2.196,29;0,4736;1;80.11-1/01;2025
2.199,33;0,4739;1;80.11-1/01;2025
2.202,37;0,4756;1;80.11-1/01;2025
2.205,41;0,4839;1;80.11-1/01;2025
2.208,45;0,4846;1;80.11-1/01;2025
2.211,49;0,485;1;80.11-1/01;2025
2.214,53;0,4855;1;80.11-1/01;2025
2.217,57;0,4864;1;80.11-1/01;2025
2.220,61;0,487;1;80.11-1/01;2025
2.223,66;0,4871;1;80.11-1/01;2025
2.226,70;0,4871;1;80.11-1/01;2025
2.229,74;0,4926;1;80.11-1/01;2025
2.232,78;0,5029;1;80.11-1/01;2025
2.235,82;0,503;1;80.11-1/01;2025
2.238,86;0,503;1;80.11-1/01;2025
2.241,90;0,5039;1;80.11-1/01;2025
2.244,94;0,5077;1;80.11-1/01;2025
2.247,98;0,5079;1;80.11-1/01;2025
2.251,02;0,5083;1;80.11-1/01;2025
2.254,07;0,5084;1;80.11-1/01;2025
2.257,11;0,5113;1;80.11-1/01;2025
2.260,15;0,5118;1;80.11-1/01;2025
2.263,19;0,5119;1;80.11-1/01;2025
2.266,23;0,5122;1;80.11-1/01;2025
2.269,27;0,5126;1;80.11-1/01;2025
2.272,31;0,5127;1;80.11-1/01;2025
2.275,35;0,5134;1;80.11-1/01;2025
2.278,39;0,5148;1;80.11-1/01;2025
2.281,43;0,5157;1;80.11-1/01;2025
2.284,48;0,517;1;80.11-1/01;2025
